liga,temporada,equipo,id,nombre,posicion,dorsal,Time Played,Substitute On,Total Losses Of Possession,Total Fouls Conceded,Recoveries,Touches,Appearances,Index,Games Played,Handballs conceded,Open Play Passes,Corners Won,Backward Passes,Successful Passes Opposition Half,Unsuccessful Launches,Unsuccessful Long Passes,Aerial Duels lost,Successful Passes Own Half,Total Tackles,Unsuccessful Short Passes,Total Passes,Substitute Off,Successful Short Passes,Goals Conceded Inside Box,Total Unsuccessful Passes ( Excl Crosses & Corners ),Rightside Passes,Unsuccessful Passes Opposition Half,Starts,PutThrough/Blocked Distribution,Unsuccessful Passes Own Half,Foul Attempted Tackle,Ground Duels,Forward Passes,Duels won,Successful Long Passes,Duels,Total Clearances,Goals Conceded,Ground Duels lost,Leftside Passes,Successful Open Play Passes,Total Successful Passes ( Excl Crosses & Corners ) ,Aerial Duels,Tackles Won,Duels lost,Ground Duels won,PutThrough/Blocked Distribution Won,Shots Off Target (inc woodwork),Successful Dribbles,Total Shots,Throw Ins to Opposition Player,Blocks,Total Touches In Opposition Box,Shots On Target ( inc goals ),Aerial Duels won,Interceptions,Unsuccessful Crosses open play,Throw Ins to Own Player,Successful Launches,Successful Crosses & Corners,Successful Corners into Box,Key Passes (Attempt Assists),Blocked Shots,Corners Taken (incl short corners),Total Fouls Won,Unsuccessful Dribbles,Unsuccessful Crosses & Corners,Unsuccessful Corners into Box,Goals,Left Foot Goals,Goals from Inside Box,Tackles Lost,Saves Made,GK Successful Distribution,Catches,Saves Made from Outside Box,Saves made - parried,Saves Made from Inside Box,GK Unsuccessful Distribution,Right Foot Goals,Yellow Cards,Goals from Outside Box,Successful Lay-offs,Attempts from Set Pieces,Successful Crosses open play,Foul Won Penalty,Penalties Taken,Penalty Goals,Assists (Intentional),Goal Assists,Through balls,Goals Conceded Outside Box,Penalty Goals Conceded,Offsides,Hit Woodwork,Penalties Saved,Penalties Faced,Saves from Penalty,Saves made - caught,Penalties Conceded,Total Red Cards,Red Cards - 2nd Yellow,Clearances Off the Line
Concacaf_Campeones_Cup,2019,CF América,evsi15yzlgsbn8fj4phrhi39,R. González,Midfielder,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Concacaf_Campeones_Cup,2019,CF América,elow2avgk966z580pispq374l,A. Ibargüen,Midfielder,11,89,,9,,3,35,1,10,1,,22,,4,15,,1,,4,,3,22,1,18,2,4,10,4,1,2,,,9,5,3,,9,,3,6,3,18,18,,,6,3,2,,1,,,,1,,,1,,,,1,,,,,2,2,,,,,,,,,,,,,,,,,,,1,,,,,,,1,1,1,,,,,,,,,
Concacaf_Campeones_Cup,2019,CF América,9gj6mqxbpu23prwdw5c6h3b9x,Renato Ibarra,Midfielder,30,90,,14,,5,48,1,10,1,,21,2,4,14,1,1,2,6,1,2,22,,16,2,3,6,8,1,1,,,7,4,4,3,9,,3,3,8,18,19,2,,5,4,1,1,1,4,,,9,3,,,1,1,1,1,,1,1,3,2,2,5,3,1,,1,1,,,,,,,,1,,,,,,,,,,,,1,1,,1,,,,,,,,
Concacaf_Campeones_Cup,2019,CF América,eunmtkojftvpeiiwdz5x8klat,Ó. Jiménez,Goalkeeper,27,90,,15,,4,32,1,10,1,,9,,,2,5,14,,7,,1,24,,4,2,15,2,9,1,,6,,,20,,5,,,3,,2,5,9,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,5,3,1,,2,5,7,,,,,,,,,,,,,1,1,,,1,2,1,1,,,,
Concacaf_Campeones_Cup,2019,CF América,dzwrckvn526kg03svnl6dg50q,J. López,Midfielder,23,7,1,3,1,,10,1,10,1,,4,,1,2,,,1,1,,1,4,,3,,1,2,3,,1,,1,1,1,,,2,,,1,,3,3,1,,2,,,1,,1,,,,,,,2,2,,,,,1,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Concacaf_Campeones_Cup,2019,CF América,cm8hnzmhduddkydba7yp3tnth,L. López,Midfielder,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Concacaf_Campeones_Cup,2019,CF América,5ysw10inm8syf7r9xvbpk9n11,H. Martín,Forward,21,71,,9,,3,25,1,10,1,,18,,11,7,,,3,7,,8,22,1,14,2,8,4,6,1,2,2,,,3,,,3,,3,,4,10,14,3,,3,,1,1,,1,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,1,,,,,,,,,,
Concacaf_Campeones_Cup,2019,CF América,63mr7tc6jklvvo3s32sdjll1x,R. Martínez,Forward,9,90,,12,2,1,41,1,10,1,,19,,1,12,,,4,4,1,3,19,,16,2,3,11,3,1,,,1,15,2,8,,19,,3,7,5,16,16,4,1,11,8,,1,1,2,,,6,1,,,,,,,,2,1,,6,1,,,1,,1,,,,,,,,,1,,,1,,,,,,1,1,,1,1,,,,,,,,,,
Concacaf_Campeones_Cup,2019,CF América,73efpm314q2paeacsvp4e8q8l,G. Rodríguez,Midfielder,5,90,,8,3,9,60,1,10,1,,39,1,1,22,,2,1,18,3,4,46,,35,2,6,16,4,1,1,2,3,14,12,10,5,17,1,3,6,17,34,40,3,2,7,8,1,,,1,,,,1,2,,,,1,,,1,,,5,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,1,,,
Concacaf_Campeones_Cup,2019,CF América,29m8py8czo6w0zf2arwolirjd,J. Sánchez,Defender,3,90,,15,,6,54,1,10,1,,29,,1,15,2,4,,5,2,6,30,,19,2,10,7,8,1,2,2,,7,16,5,1,7,2,3,2,6,19,20,,1,2,5,1,,2,,,1,1,,,,,9,,,,1,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,
Concacaf_Campeones_Cup,2019,CF América,9btya653zl5wu6f0fhzd3k05x,B. Valdez,Defender,18,72,,5,4,3,27,1,10,1,,7,,,3,,,1,2,1,4,9,,5,2,4,,5,1,3,,1,8,5,6,,11,7,3,4,4,3,5,3,1,5,4,2,,2,,,1,,,2,3,1,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,1,1,1,1
Concacaf_Campeones_Cup,2019,CF América,d0lrousd653vo6gpwe6xrq9d5,C. Vargas,Defender,2,90,,3,3,1,22,1,10,1,,9,,1,2,1,3,1,6,3,,11,,8,2,3,3,3,1,,,3,7,5,3,,8,5,3,4,2,6,8,1,2,5,3,,,,,,2,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,1,1,,,,,,,,,,1
Concacaf_Campeones_Cup,2019,CF América,ect3pxkbjycux4simxmzp9jze,L. Zamudio,Goalkeeper,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
